email,telefon,tip_cont,tip_colaborator,prenume,nume,denumire_afisata_contact,username_propus,judet,localitate,denumire_organizatie,denumire_legala,cui,cui_cu_ro,reg_com,adresa_firma,reprezentant_legal,judet_firma,localitate_firma,adapost_public_ong,segmente,marketing_email_viitor,nota_interna,stare
bragadiru@aspa.ro,0734301394,adapost,adprv,,,ASPA,,București,București,ASPA,,,,,București,Contact listă Ramses (0734301394),,,,noutati_ong_adapost,,Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|aspa|bucuresti|priv,ready
contact@green-cats.org,0721947501,adapost,adprv,,,Green Cats,,Cluj,Cluj-Napoca,Green Cats,,,,,Cluj-Napoca,Contact listă Ramses (0721947501),,,,noutati_ong_adapost,,Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|green cats|cluj-napoca|priv,ready
,0742899476,adapost,adprv,,,Anda Panda,,,,Anda Panda,,,,,0742899476,,,,,noutati_ong_adapost,,Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|anda panda|0742899476|priv,ready
asociatiapoli2024@gmail.com,0256386637,adapost,adprv,,,Asociația Poli,,,Str. Înfrățirea 93,Asociația Poli,,,,,"Str. Înfrățirea 93, GIarmata Vii",Contact listă Ramses (0256386637),,,,noutati_ong_adapost,,"Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|asociatia poli|str. infratirea 93, giarmata vii|priv",ready
,,adapost,adprv,,,Adorra Rescue Center,,București,București,Adorra Rescue Center,,,,,București,,,,,noutati_ong_adapost,,Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|adorra rescue center|bucuresti|priv,ready
,0751654870,adapost,adprv,,,The Nana Gang,,,,The Nana Gang,,,,,0751654870,,,,,noutati_ong_adapost,,Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|the nana gang|0751654870|priv,ready
,0747065674,adapost,adprv,,,Nobody’s Souls,,Hunedoara,Pestisul Mare 21D,Nobody’s Souls,,,,,"Pestisul Mare 21D, Hunedoara",,,,,noutati_ong_adapost,,"Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|nobody’s souls|pestisul mare 21d, hunedoara|priv",ready
mariuta.romania@gmail.com,0732358406,adapost,adprv,,,Asociația pentru Protecția Animalelor Măriuța,,Dolj,Poiana Mare,Asociația pentru Protecția Animalelor Măriuța,,,,,"Poiana Mare, Dolj",Contact listă Ramses (0732358406),,,,noutati_ong_adapost,,"Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|asociatia pentru protectia animalelor mariuta|poiana mare, dolj|priv",ready
asociatia3h@gmail.com,,adapost,adprv,,,Asociația Happy Heart Home,,,,Asociația Happy Heart Home,,,,,,,,,,noutati_ong_adapost,,Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|asociatia happy heart home||priv,ready
carpeshelter@yahoo.com,0744440089,adapost,adprv,,,CARPE Animal Rescue,,București,București,CARPE Animal Rescue,,,,,București,Contact listă Ramses (0744440089),,,,noutati_ong_adapost,,Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|carpe animal rescue|bucuresti|priv,ready
contact@rigasiberlin.ro,,adapost,adprv,,,Asociația Riga si Berlin,,București,București,Asociația Riga si Berlin,,,,,București,,,,,noutati_ong_adapost,,Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|asociatia riga si berlin|bucuresti|priv,ready
office@red-panda.ro,,adapost,adprv,,,Red Panda,,București,Barbu Vacarescu 162 - 164,Red Panda,,,,,"Barbu Vacarescu 162 - 164, București",,,,,noutati_ong_adapost,,"Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|red panda|barbu vacarescu 162 - 164, bucuresti|priv",ready
tnr.sterilizare@gmail.com,0764774329,adapost,adprv,,,Asociația TNR,,București,București,Asociația TNR,,,,,București,Contact listă Ramses (0764774329),,,,noutati_ong_adapost,,Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|asociatia tnr|bucuresti|priv,ready
contact@freelifedogs.com,0745521042,adapost,adprv,,,Asociația Freelifesm,,Satu Mare,Parc Industrial Sud,Asociația Freelifesm,,,,,"Parc Industrial Sud, Satu Mare",Contact listă Ramses (0745521042),,,,noutati_ong_adapost,,"Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|asociatia freelifesm|parc industrial sud, satu mare|priv",ready
asoc.saveandsmile@gmail.com,,adapost,adprv,,,Asociația Save & Smile,,Mureș,Jud. Mureș,Asociația Save & Smile,,,,,Jud. Mureș,,,,,noutati_ong_adapost,,Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|asociatia save & smile|jud. mures|priv,ready
office@asrc.ong,0747992200,adapost,adprv,,,All Souls Rescue Center,,Teleorman,Str. Lacramioarei 2 Sat. Meri,All Souls Rescue Center,,,,,"Str. Lacramioarei 2 Sat. Meri, Teleorman",Contact listă Ramses (0747992200),,,,noutati_ong_adapost,,"Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|all souls rescue center|str. lacramioarei 2 sat. meri, teleorman|priv",ready
contact@nolimitpets.ro,0746385854,adapost,adprv,,,Ringo Land Romania,,Bacău,Str. Vrancei,Ringo Land Romania,,,,,"Str. Vrancei, nr 2, Bacău",Contact listă Ramses (0746385854),,,,noutati_ong_adapost,,"Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|ringo land romania|str. vrancei, nr 2, bacau|priv",ready
contact@nolimitpets.ro,,adapost,adprv,,,No Limit Pets,,Bacău,Str. Vrancei,No Limit Pets,,,,,"Str. Vrancei, nr. 2, Bacău",,,,,noutati_ong_adapost,,"Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|no limit pets|str. vrancei, nr. 2, bacau|priv",ready
dogscenteresita@yahoo.com,,adapost,adprv,,,Asociația Dogs Center,,Caraș-Severin,Reșița,Asociația Dogs Center,,,,,Reșița,,,,,noutati_ong_adapost,,Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|asociatia dogs center|resita|priv,ready
asociatiaida@gmail.com,,adapost,adprv,,,Asociația IDA,,București,București,Asociația IDA,,,,,București,,,,,noutati_ong_adapost,,Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|asociatia ida|bucuresti|priv,ready
asociatia.littlepawsenvironment@gmail.com,,adapost,adprv,,,Little Paws Squad and The Environment,,București,Str. Drm. Dealu Bistrii Nr. 25,Little Paws Squad and The Environment,,,,,"Str. Drm. Dealu Bistrii Nr. 25, București",,,,,noutati_ong_adapost,,"Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|little paws squad and the environment|str. drm. dealu bistrii nr. 25, bucuresti|priv",ready
asociatiapansb@gmail.com,,adapost,adprv,,,Asociația Pan,,Sibiu,Sibiu,Asociația Pan,,,,,Sibiu,,,,,noutati_ong_adapost,,Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|asociatia pan|sibiu|priv,ready
contact@adapostcainicristian.ro,0741224576,adapost,adprv,,,Adăpost câini Cristian,,Sibiu,Cristian,Adăpost câini Cristian,,,,,"Comuna Cristian, Strada XX, Nr. 18, Jud. Sibiu",Contact listă Ramses (0741224576),,,,noutati_ong_adapost,,"Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|adapost caini cristian|comuna cristian, strada xx, nr. 18, jud. sibiu|priv",ready
animallife.ro@gmail.com,,adapost,adprv,,,Animal Life,,Sibiu,Sibiu,Animal Life,,,,,Sibiu,,,,,noutati_ong_adapost,,Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|animal life|sibiu|priv,ready
help_labus@yahoo.com,0751024562,adapost,adprv,,,Ajutați-l pe Lăbuș,,Galați,Calea Prutului,Ajutați-l pe Lăbuș,,,,,"Calea Prutului, Galați, România",Contact listă Ramses (0751024562),,,,noutati_ong_adapost,,"Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|ajutati-l pe labus|calea prutului, galati, romania|priv",ready
,0757331827,adapost,adprv,,,Blănoșii nordului,,Botoșani,Darabani,Blănoșii nordului,,,,,"Darabani, Jud. Botosani",,,,,noutati_ong_adapost,,"Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|blanosii nordului|darabani, jud. botosani|priv",ready
animalshields@gmail.com,,adapost,adprv,,,Animal Shields,,Bihor,Oradea,Animal Shields,,,,,Oradea,,,,,noutati_ong_adapost,,Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|animal shields|oradea|priv,ready
asociatiacutoferma@gmail.com,,adapost,adprv,,,Asociația Cutoferma,,,,Asociația Cutoferma,,,,,,,,,,noutati_ong_adapost,,Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|asociatia cutoferma||priv,ready
,,adapost,adprv,,,Animale spre adopție Brașov,,Brașov,Brașov,Animale spre adopție Brașov,,,,,Brașov,,,,,noutati_ong_adapost,,Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|animale spre adoptie brasov|brasov|priv,ready
asociatia.animalelor.innocente@gmail.com,0757659348,adapost,adprv,,,Asociația pentru Protecția Animalelor INNOCENTE,,Bihor,Strada Gestului,Asociația pentru Protecția Animalelor INNOCENTE,,,,,"Strada Gestului, Salonta, Romania",Contact listă Ramses (0757659348),,,,noutati_ong_adapost,,"Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|asociatia pentru protectia animalelor innocente|strada gestului, salonta, romania|priv",ready
office@asociatiaargos.ro,,adapost,adprv,,,Asociația Argos,,București,Blvd. Bucureștii Noi,Asociația Argos,,,,,"Blvd. Bucureștii Noi, București",,,,,noutati_ong_adapost,,"Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|asociatia argos|blvd. bucurestii noi, bucuresti|priv",ready
,,adapost,adprv,,,Elena Surubariu,,Vaslui,Vaslui,Elena Surubariu,,,,,Vaslui,,,,,noutati_ong_adapost,,Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|elena surubariu|vaslui|priv,ready
asociatia.felisity@gmail.com,,adapost,adprv,,,Asociația Felisity,,,,Asociația Felisity,,,,,,,,,,noutati_ong_adapost,,Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|asociatia felisity||priv,ready
savethehorsesromania@gmail.com,0726830583,adapost,adprv,,,Sanctuarul Save the Horses,,,,Sanctuarul Save the Horses,,,,,0726830583,Contact listă Ramses (0726830583),,,,noutati_ong_adapost,,Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|sanctuarul save the horses|0726830583|priv,ready
,,adapost,adprv,,,Asociația Echipa de Vis Fulgy,,Hunedoara,Sântămăria-Orlea,Asociația Echipa de Vis Fulgy,,,,,"Comuna Sântămăria-Orlea, Hunedoara",,,,,noutati_ong_adapost,,"Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|asociatia echipa de vis fulgy|comuna santamaria-orlea, hunedoara|priv",ready
romania@savethedogs.eu,0241235081,adapost,adprv,,,Asociația Save the Dogs and other Animals,,Constanța,DJ 223 Km 3,Asociația Save the Dogs and other Animals,,,,,"DJ 223 Km 3, Cernavoda",Contact listă Ramses (0241235081),,,,noutati_ong_adapost,,"Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|asociatia save the dogs and other animals|dj 223 km 3, cernavoda|priv",ready
sos.arms@yahoo.com,0772175651,adapost,adprv,,,SOS Arms,,Brașov,Brașov,SOS Arms,,,,,Brașov,Contact listă Ramses (0772175651),,,,noutati_ong_adapost,,Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|sos arms|brasov|priv,ready
hello@dumbrava-lui-patrocle.org,0770302898,adapost,adprv,,,Dumbrava lui Patrocle,,Cluj,Cășeiu nr. 27,Dumbrava lui Patrocle,,,,,"Cășeiu nr. 27, Jud. Cluj",Contact listă Ramses (0770302898),,,,noutati_ong_adapost,,"Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|dumbrava lui patrocle|caseiu nr. 27, jud. cluj|priv",ready
,,adapost,adprv,,,Povestea lăbuțelor,,București,București,Povestea lăbuțelor,,,,,București,,,,,noutati_ong_adapost,,Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|povestea labutelor|bucuresti|priv,ready
i_nico@yahoo.com,0744518269,adapost,adprv,,,Asociația Căsuța lui Azor,,Vrancea,Str. Vrancei,Asociația Căsuța lui Azor,,,,,"Str. Vrancei, Focșani, Vrancea",Contact listă Ramses (0744518269),,,,noutati_ong_adapost,,"Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|asociatia casuta lui azor|str. vrancei, focsani, vrancea|priv",ready
vocea.animalelor.ong@gmail.com,,adapost,adprv,,,Asociația Vocea Animalelor,,Prahova,Ploiești,Asociația Vocea Animalelor,,,,,Ploiești,,,,,noutati_ong_adapost,,Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|asociatia vocea animalelor|ploiesti|priv,ready
,,adapost,adprv,,,Eugenia Comiza,,Ilfov,Clinceni,Eugenia Comiza,,,,,"Clinceni, Ilfov",,,,,noutati_ong_adapost,,"Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|eugenia comiza|clinceni, ilfov|priv",ready
happytailstimisoara@gmail.com,,adapost,adprv,,,Happy Tails Timișoara,,Timiș,Str. Ovidiu Cotrus,Happy Tails Timișoara,,,,,"Str. Ovidiu Cotrus, zona Freidorf, Timisoara",,,,,noutati_ong_adapost,,"Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|happy tails timisoara|str. ovidiu cotrus, zona freidorf, timisoara|priv",ready
rescuecatsforadoption@gmail.com,,adapost,adprv,,,KittyLand,,,,KittyLand,,,,,,,,,,noutati_ong_adapost,,Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: privat | fingerprint=ramses|kittyland||priv,ready
,0214904007,adapost,adpub,,,"Adăpostul de câini Odăi, Primăria Sectorului 1",,București,Sos. Odăi,"Adăpostul de câini Odăi, Primăria Sectorului 1",,,,,"Sos. Odăi, nr. 3-5, Sector 1, București",,,,1,noutati_ong_adapost,,"Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: public | fingerprint=ramses|adapostul de caini odai, primaria sectorului 1|sos. odai, nr. 3-5, sector 1, bucuresti|pub",ready
,0213452740,adapost,adpub,,,Adăpostul de câini Pallady,,București,Sector 3,Adăpostul de câini Pallady,,,,,"Sector 3, București",,,,1,noutati_ong_adapost,,"Sursă: asociatiaramses.ro/adaposturi/ (Asociația Ramses) | URL: https://asociatiaramses.ro/adaposturi/ | Secțiune listă: public | fingerprint=ramses|adapostul de caini pallady|sector 3, bucuresti|pub",ready
