email,telefon,tip_cont,tip_colaborator,prenume,nume,denumire_afisata_contact,username_propus,judet,localitate,denumire_organizatie,denumire_legala,cui,cui_cu_ro,reg_com,adresa_firma,reprezentant_legal,judet_firma,localitate_firma,adapost_public_ong,segmente,marketing_email_viitor,nota_interna,stare
,0736002557,adapost,adpub,,,"http://sedcmioveni.ro/index.php/ecarisaj , https://ro-ro.facebook.com/ServiciiEdilitareMioveni/",,Argeș,Mioveni,"http://sedcmioveni.ro/index.php/ecarisaj , https://ro-ro.facebook.com/ServiciiEdilitareMioveni/",,,,,"Loc. Mioveni, Cartierul Racovita, punct Valea Popii",Elisei Anişoara 0736002557,,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/arges/ | fingerprint=arges|http://sedcmioveni.ro/index.php/ecarisaj , https://ro-ro.facebook.com/serviciiedilitaremioveni/|loc. mioveni, cartierul racovita, punct valea popii | Capacitate: 650 cap.; Program: Luni – Vineri: 10.00 – 14.00, S-D: 10.00-12.00",ready
,0752171918,adapost,adprv,,,–,,Argeș,Valea Danului sat Borobanesti Curtea de Arges,–,,,,,Comuna Valea Danului sat Borobanesti Curtea de Arges,Grigorescu Ion – 0752171918,,,,noutati_ong_adapost,,Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/arges/ | fingerprint=arges|–|comuna valea danului sat borobanesti curtea de arges | Capacitate: 120 cap.; Program: Luni – Vineri: 09.00 – 12.00,ready
biobazapitesti@yahoo.ro,0733030343,adapost,adpub,,,–,,Argeș,Moşoaia,–,,,,,"Comuna Moşoaia, sat Smeura",Preda Stefan 0733030343,,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/arges/ | fingerprint=arges|–|comuna mosoaia, sat smeura | Capacitate: 2300 cap.; Program: Luni – Joi: 08.00 – 14.00",ready
,0752668513,adapost,adprv,,,https://facebook.com/profile.php?id=100071513074212,,Argeș,CAMPULUNG,https://facebook.com/profile.php?id=100071513074212,,,,,"MUNICIPIUL CAMPULUNG, DN 73C, NR. 2",DAJA LUCIA MAGDALENA; 0752668513,,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/arges/ | fingerprint=arges|https://facebook.com/profile.php?id=100071513074212|municipiul campulung, dn 73c, nr. 2 | Capacitate: 800 cap.; Program: Luni – Vineri 12.00 – 14.00",ready
,0755705238,adapost,adprv,,,www.ong-labute-cda.ro,,Argeș,Mun.Curtea de Argeș,www.ong-labute-cda.ro,,,,,"Mun.Curtea de Argeș, Str Locotenent Pavelescu Nr 23Z, punct Ogoare",Constantinescu Mădălin – Ion 0755705238,,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/arges/ | fingerprint=arges|www.ong-labute-cda.ro|mun.curtea de arges, str locotenent pavelescu nr 23z, punct ogoare | Capacitate: 235 cap.; Program: Luni- Vineri: 11-13",ready
,0723399222,adapost,adprv,,,Facebook Asociatia Sprijinul Animalelor,,Argeș,Argeseni,Facebook Asociatia Sprijinul Animalelor,,,,,"Loc. Argeseni, com. Baiculesti, nr. 30",Lungu Razvan (0723399222),,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/arges/ | fingerprint=arges|facebook asociatia sprijinul animalelor|loc. argeseni, com. baiculesti, nr. 30 | Capacitate: 495 cap.; Program: Luni- Vineri: 10-12",ready
,0234547427,adapost,adpub,,,ADAPOST PRIMĂRIA MUNICIPIULUI BACĂU – Serviciul de Gestionare al Câinilor fără Stăpân,,Bacău,Bacău,ADAPOST PRIMĂRIA MUNICIPIULUI BACĂU – Serviciul de Gestionare al Câinilor fără Stăpân,,,,,"Municipiul Bacău, Str. Republicii, nr. 181",Dinu Mihai Pancescu (0234547427),,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/bacau/ | fingerprint=bacau|adapost primaria municipiului bacau – serviciul de gestionare al cainilor fara stapan|municipiul bacau, str. republicii, nr. 181 | Capacitate: 1437 cap.; Program: Luni – Vineri: 10.00 – 12.00",ready
cainifarastapan@dpponesti.ro,0770362501,adapost,adpub,,,ADAPOST CONSILIUL LOCAL ONEŞTI – S.C. Domeniul Public şi Privat S.A.,,Bacău,Oneşti,ADAPOST CONSILIUL LOCAL ONEŞTI – S.C. Domeniul Public şi Privat S.A.,,,,,"Municipiul Oneşti, Calea Bacăului nr. 10","Calin Ochian Mihaela (0770362501, )",,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/bacau/ | fingerprint=bacau|adapost consiliul local onesti – s.c. domeniul public si privat s.a.|municipiul onesti, calea bacaului nr. 10 | Capacitate: 600 cap.; Program: Luni – Vineri: 10.00 – 14.00",ready
,0234363680,adapost,adpub,,,ADAPOST,,Bacău,Moineşti,ADAPOST,,,,,"Municipiul Moineşti, str. Păcurari fn",Agache Iustin Ionel (0234363680),,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/bacau/ | fingerprint=bacau|adapost|municipiul moinesti, str. pacurari fn | Capacitate: 200 cap.; Program: Luni – Joi: 10.00 – 14.00, Vineri: 10.00 – 12.00",ready
utilconseca@yahoo.com,0371395202,adapost,adpub,,,ADAPOST TARGU OCNA – SC UTIL CONSECA SRL,,Bacău,Oraş Tg. Ocna,ADAPOST TARGU OCNA – SC UTIL CONSECA SRL,,,,,"Oraş Tg. Ocna, str. Costache Negri, FN","Lucaci Stefan; (0371395202, )",,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/bacau/ | fingerprint=bacau|adapost targu ocna – sc util conseca srl|oras tg. ocna, str. costache negri, fn | Capacitate: 76 cap.; Program: Luni – Vineri: 09.00 – 10.00",ready
asociatia.lupiitineri@yahoo.com,0754348584,adapost,adprv,,,ADĂPOST CÂINI FĂRĂ STĂPÂN BUHUŞI – Asociaţia Lupii Tineri,,Bacău,Oraş Buhuşi,ADĂPOST CÂINI FĂRĂ STĂPÂN BUHUŞI – Asociaţia Lupii Tineri,,,,,"Oraş Buhuşi, Str. Libertăţii, nr. 36",Alupoaiei Iulian 0754348584,,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/bacau/ | fingerprint=bacau|adapost caini fara stapan buhusi – asociatia lupii tineri|oras buhusi, str. libertatii, nr. 36 | Capacitate: 170 cap.; Program: Luni – Vineri: 08.00 – 16.00",ready
,0740050702,adapost,adprv,,,ADAPOST ASOCIAŢIA SUFLETUL MEU,,Bacău,Oraş Comăneşti,ADAPOST ASOCIAŢIA SUFLETUL MEU,,,,,"Oraş Comăneşti, Str. Fagului FN",Tudor Daniela 0740050702,,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/bacau/ | fingerprint=bacau|adapost asociatia sufletul meu|oras comanesti, str. fagului fn | Capacitate: 1000 cap.; Program: Luni – Vineri: 08.00 – 16.00; Sambata: 08:00-13:00",ready
,,adapost,adprv,,,ADAPOST ASOCIATIA NO LIMIT PETS,,Bacău,Strada Veseliei,ADAPOST ASOCIATIA NO LIMIT PETS,,,,,"Strada Veseliei, nr. 60, sat Galbeni, Comuna Filipesti",Suciu Florin (0746 385 854),,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/bacau/ | fingerprint=bacau|adapost asociatia no limit pets|strada veseliei, nr. 60, sat galbeni, comuna filipesti | Capacitate: 350 cap.; Program: Luni-Vineri: 10.00-12.00",ready
,,adapost,adpub,,,ADAPOST PRIMARIA  SASCUT,,Bacău,localitatea: Sascut,ADAPOST PRIMARIA  SASCUT,,,,,"localitatea: Sascut, comuna: Sascut, strada: Epurarii, nr.1","Avanu Catatina- tet:07,14888488-e-mail: avanu.catatina@gmait. com",,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/bacau/ | fingerprint=bacau|adapost primaria sascut|localitatea: sascut, comuna: sascut, strada: epurarii, nr.1 | Capacitate: 400 cap.; Program: Luni-Vineri: 08.00-17.00",ready
secretariat@adporadea.ro,0733055533,adapost,adpub,,,ADAPOST A.D.P. S.A. ORADEA,,Bihor,Oradea,ADAPOST A.D.P. S.A. ORADEA,,,,,"Municipiul Oradea, str. Corneliu BABA nr. 19","Liviu Andrica (0733055533, )",,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/bihor/ | fingerprint=bihor|adapost a.d.p. s.a. oradea|municipiul oradea, str. corneliu baba nr. 19 | Capacitate: 200 cap.; Program: Luni – Vineri: 08.00 – 16.00, Sâmbătă: 10.00 – 14.00",ready
office@sosdogs.ro,0723656621,adapost,adprv,,,– SUSPENDAT TEMPORAR,,Bihor,Cetariu,– SUSPENDAT TEMPORAR,,,,,"Comuna Cetariu, sat Şişterea nr. 370",Lazăr Carol 0723656621,,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/bihor/ | fingerprint=bihor|– suspendat temporar|comuna cetariu, sat sisterea nr. 370 | Capacitate: 440 cap.; Program: Luni – Vineri: 08.00 – 16.00",ready
,0740688123,adapost,adprv,,,ADAPOST ASOCIATIA ACTIVE FRIENDS FOR PEOPLE AND DOGS,,Bihor,Tamaseu,ADAPOST ASOCIATIA ACTIVE FRIENDS FOR PEOPLE AND DOGS,,,,,"loc. Tamaseu, 379/A",Stana Dorin Cristian – 0740688123,,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/bihor/ | fingerprint=bihor|adapost asociatia active friends for people and dogs|loc. tamaseu, 379/a | Capacitate: 50; Program: Luni – Vineri intre orele 8,00-16,00",ready
,0359412712,adapost,adpub,,,ADAPOST ADMINISTRATIA DOMENIULUI PUBLIC BEIUS,,Bihor,mun. Beius,ADAPOST ADMINISTRATIA DOMENIULUI PUBLIC BEIUS,,,,,"mun. Beius, str. Crisului, nr. 39/A",Ardelean Calin (0359412712),,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/bihor/ | fingerprint=bihor|adapost administratia domeniului public beius|mun. beius, str. crisului, nr. 39/a | Capacitate: 28 cap.; Program: L – V: 08.00 – 16.00",ready
,0259362001,adapost,adpub,,,ADAPOST MUNICIPIUL MARGHITA,,Bihor,Oraş Marghita,ADAPOST MUNICIPIUL MARGHITA,,,,,"Oraş Marghita, nr. cadastral 105337",Marcel Emil Sas Adascalitei (0259362001),,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/bihor/ | fingerprint=bihor|adapost municipiul marghita|oras marghita, nr. cadastral 105337 | Capacitate: 28 cap.; Program: luni – vineri 08:00 – 16:00",ready
,0259342539,adapost,adpub,,,ADAPOST  CFS PRIMARIA ALESD,,Bihor,Alesd,ADAPOST  CFS PRIMARIA ALESD,,,,,"Alesd, str. Emil Palade, nr 11/B",Todoca Ioan (0259342539),,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/bihor/ | fingerprint=bihor|adapost cfs primaria alesd|alesd, str. emil palade, nr 11/b | Capacitate: 50 cap.; Program: luni – vineri 08:00 – 16:00",ready
,0259373243,adapost,adpub,,,ADAPOST  MUNICIPIUL SALONTA,,Bihor,Mun. Salonta,ADAPOST  MUNICIPIUL SALONTA,,,,,"Mun. Salonta, str. Ghestului, FN",Szijjarto Iosif Zoltan (0259373243),,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/bihor/ | fingerprint=bihor|adapost municipiul salonta|mun. salonta, str. ghestului, fn | Capacitate: 28 cap.; Program: luni – vineri 08:00 – 16:00",ready
dis_bistrita@primariabistrita.ro,0263216202,adapost,adpub,,,"einherzfuerstreuner.de , facebook – adapostul public bistrita",,Bistrița-Năsăud,Bistriţa,"einherzfuerstreuner.de , facebook – adapostul public bistrita",,,,,"Municipiul Bistriţa, str. Simpozionului nr. 2","Cristian Tetcu; (0263216202, )",,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/bistrita-nasaud/ | fingerprint=bistrita-nasaud|einherzfuerstreuner.de , facebook – adapostul public bistrita|municipiul bistrita, str. simpozionului nr. 2 | Capacitate: 120; Program: Luni – vineri: 10.00 – 14.00",ready
alex@armehundeseelen.com,0746100205,adapost,adpub,,,www.armehundeseelen.com,,Bistrița-Năsăud,Oraş Năsăud,www.armehundeseelen.com,,,,,"Oraş Năsăud, str. Podirei nr. 14A",Alexandra Stefan Tel. 0746100205; office@armehundeseelen sau,,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/bistrita-nasaud/ | fingerprint=bistrita-nasaud|www.armehundeseelen.com|oras nasaud, str. podirei nr. 14a | Capacitate: 75; Program: Luni – Duminica: 10.00 – 12.00, 16 – 18",ready
info@1dogatatimerescue.org,0754848203,adapost,adprv,,,https://www.1dogatatimerescue.org/,,Bistrița-Năsăud,Sieusi Magherus,https://www.1dogatatimerescue.org/,,,,,"Com. Sieusi Magherus, sat Crainimat, fn",Rozina Bachner (0754848203; ),,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/bistrita-nasaud/ | fingerprint=bistrita-nasaud|https://www.1dogatatimerescue.org/|com. sieusi magherus, sat crainimat, fn | Capacitate: 50; Program: Luni – Dum: 09.00 – 12.00",ready
pipo_animals@yahoo.com,0742404352,adapost,adprv,,,https://www.facebook.com/pipoanimals/,,Bistrița-Năsăud,Budacu de Jos,https://www.facebook.com/pipoanimals/,,,,,"Com. Budacu de Jos, loc. Monariu, nr. 112","Gherman Alina (0742404352, )",,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/bistrita-nasaud/ | fingerprint=bistrita-nasaud|https://www.facebook.com/pipoanimals/|com. budacu de jos, loc. monariu, nr. 112 | Capacitate: 80; Program: Luni – Vineri: 10.00 – 14.00",ready
,0331710613,adapost,adpub,,,https://ro-ro.facebook.com/dspsabt/,,Botoșani,Str. I.C. Brătianu,https://ro-ro.facebook.com/dspsabt/,,,,,"Str. I.C. Brătianu, FN, Municipiul Botoşani Responsabil adopţii: Airinei Lavinia Irina 0331710613, (secretariat@polivalenta.ro)",,,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/botosani/ | fingerprint=botosani|https://ro-ro.facebook.com/dspsabt/|str. i.c. bratianu, fn, municipiul botosani responsabil adoptii: airinei lavinia irina 0331710613, (secretariat@polivalenta.ro) | Capacitate: 960; Program: Luni – Vineri: 10.00 – 18.00",ready
,0231552727,adapost,adpub,,,Facebook – padoc flamanzi,,Botoșani,Oras Flămânzi,Facebook – padoc flamanzi,,,,,"Oras Flămânzi, str. Aviator Comandor Berbunschi Dumitru, FN",Anofriesei Mihai 0231552727,,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/botosani/ | fingerprint=botosani|facebook – padoc flamanzi|oras flamanzi, str. aviator comandor berbunschi dumitru, fn | Capacitate: 30; Program: Luni – Vineri: 10.00 – 18.00",ready
,0745908551,adapost,adprv,,,https://www.facebook.com/people/Asociatia-ADOR-Botosani/100064786399629/,,Botoșani,Stauceni,https://www.facebook.com/people/Asociatia-ADOR-Botosani/100064786399629/,,,,,"Comuna Stauceni, PC 14, extravilan",Andrisan Dana (0745908551),,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/botosani/ | fingerprint=botosani|https://www.facebook.com/people/asociatia-ador-botosani/100064786399629/|comuna stauceni, pc 14, extravilan | Capacitate: 290; Program: Luni – Vineri: 10.00 – 18.00",ready
spldorohoi@yahoo.com,0231610199,adapost,adpub,,,Adăpost,,Botoșani,Dorohoi,Adăpost,,,,,"Dorohoi, str. Sf Ioan Romanul, FN","Nita Cristian (0231610199, )",,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/botosani/ | fingerprint=botosani|adapost|dorohoi, str. sf ioan romanul, fn | Capacitate: 160; Program: Luni – Vineri: 10.00 – 18.00",ready
spgabv@yahoo.com,0268543815,adapost,adpub,,,ADAPOST SPGA CONSILIUL LOCAL BRASOV,,Brașov,Brașov,ADAPOST SPGA CONSILIUL LOCAL BRASOV,,,,,"Municipiul Brașov, str. Merilor nr. 6",Buse Florina/Anghel Sabina 0268543815,,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/brasov/ | fingerprint=brasov|adapost spga consiliul local brasov|municipiul brasov, str. merilor nr. 6 | Capacitate: 350; Program: Luni – Vineri: 09.00 – 16.00 / S-D 08.00-12.00",ready
oana.david@millionsoffriends.org,0268471202,adapost,adprv,,,ADAPOST ASOCIATIA “MILIOANE DE PRIETENI” BRASOV,,Brașov,Braşov,ADAPOST ASOCIATIA “MILIOANE DE PRIETENI” BRASOV,,,,,"Municipiul Braşov, str. Timis Triaj, nr. 20",David Ioana 0268471202,,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/brasov/ | fingerprint=brasov|adapost asociatia “milioane de prieteni” brasov|municipiul brasov, str. timis triaj, nr. 20 | Capacitate: 350; Program: Luni – Vineri: 08.00 – 12.00",ready
dpmpa_bv@yahoo.com,0723211448,adapost,adprv,,,ADAPOST DMPA CODLEA,,Brașov,Codlea,ADAPOST DMPA CODLEA,,,,,"Municipiul Codlea, str. Hălchiului nr. 101",Codruz Maria Luiza 0723211448,,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/brasov/ | fingerprint=brasov|adapost dmpa codlea|municipiul codlea, str. halchiului nr. 101 | Capacitate: 290; Program: Luni – Duminică: 10.00 – 14.00",ready
carefordogsro@gmail.com,0743077303,adapost,adprv,,,ADAPOST ASOCIATIA CARE FOR DOGS,,Brașov,Prejmer,ADAPOST ASOCIATIA CARE FOR DOGS,,,,,"Prejmer, dj 112, Brasov",Botea Delia 0743077303,,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/brasov/ | fingerprint=brasov|adapost asociatia care for dogs|prejmer, dj 112, brasov | Capacitate: 550; Program: Luni – Vineri: 12.00 – 14.00",ready
supaglbraila@gmail.com,0756044408,adapost,adpub,,,ADAPOST UNIREA – Primăria Municipiului Brăila,,Brăila,Unirea,ADAPOST UNIREA – Primăria Municipiului Brăila,,,,,"Comuna Unirea, judeţul Brăila",Podaru Andi 0756044408,,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/braila/ | fingerprint=braila|adapost unirea – primaria municipiului braila|comuna unirea, judetul braila | Capacitate: 450; Program: Luni – Vineri: 12.00 – 15.00",ready
dsp_ianca@yahoo.com,0239668806,adapost,adpub,,,ADAPOST IANCA – Consiliul Local Ianca,,Brăila,Oraş Ianca,ADAPOST IANCA – Consiliul Local Ianca,,,,,"Oraş Ianca, str. Fabricii nr. 13",Dumitrache Anca 0239668806,,,1,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/braila/ | fingerprint=braila|adapost ianca – consiliul local ianca|oras ianca, str. fabricii nr. 13 | Capacitate: 70; Program: Luni – Vineri: 07.00 – 09.00",ready
,0769675451,adapost,adprv,,,ADAPOST ASOCIATIA PHOENIX DOGS,,Brăila,Lacu Sarat,ADAPOST ASOCIATIA PHOENIX DOGS,,,,,"Sat Lacu Sarat, Str. Garii, Braila",Vladescu Marin (0769675451),,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/braila/ | fingerprint=braila|adapost asociatia phoenix dogs|sat lacu sarat, str. garii, braila | Capacitate: 400 caini, 50 pisici; Program: Luni – Vineri: 12.00 – 14.00",ready
pawsoflove2020@yahoo.com,0769675451,adapost,adprv,,,ADAPOST ASOCIATIA PAWS OF LOVE,,Brăila,Oras Insuratei,ADAPOST ASOCIATIA PAWS OF LOVE,,,,,"Oras Insuratei, Str. Vlaicu Voda, nr. 17",Vlădescu Marin Gherase (tel. 0769675451),,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/braila/ | fingerprint=braila|adapost asociatia paws of love|oras insuratei, str. vlaicu voda, nr. 17 | Capacitate: 400 caini, 50 pisici; Program: 12:00 – 14:00",ready
,0744278698,adapost,adprv,,,ADAPOST ASOCIATIA PAWS PARADISE,,Brăila,Oras Insuratei,ADAPOST ASOCIATIA PAWS PARADISE,,,,,"Oras Insuratei, Str. Vlaicu Voda, nr. 13","Vladescu Violeta, tel. 0744278698",,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/braila/ | fingerprint=braila|adapost asociatia paws paradise|oras insuratei, str. vlaicu voda, nr. 13 | Capacitate: 100 caini, 50 pisici; Program: 12:00 – 14:00",ready
alina.custura@yahoo.com,0767216661,adapost,adprv,,,ADAPOST Asociația ”Bark4life”,,Brăila,Braila,ADAPOST Asociația ”Bark4life”,,,,,"Braila, Calea Galati nr. 385-387","Custura Gina (0767216661, )",,,,noutati_ong_adapost,,"Sursă: registru-caini.ro | URL județ: https://registru-caini.ro/adaposturi/braila/ | fingerprint=braila|adapost asociatia ”bark4life”|braila, calea galati nr. 385-387 | Capacitate: 350 caini si 15 pisici; Program: 12:00 – 14:00",ready
